Timing Information for run through:
Clocks Per second:, 1000000 
Calc Depth,10000, Clocks
Segment Image,20000, Clocks
Feature Extraction,820000, Clocks
Histogram Generation,10000, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,530000, Clocks
General Timing 1,290000, Clocks
General Timing 2,90000, Clocks
General Timing 3,0, Clocks
All Processing,1130000, Clocks

Total Work Time,2940000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,40000, Clocks
Capture Images,30000, Clocks
Calc Disparity,0, Clocks
Calc Depth,10000, Clocks
Segment Image,10000, Clocks
Feature Extraction,830000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,60000, Clocks
Audio Generation,6180000, Clocks
General Timing 0,530000, Clocks
General Timing 1,300000, Clocks
General Timing 2,90000, Clocks
General Timing 3,0, Clocks
All Processing,7110000, Clocks

Total Work Time,15190000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,30000, Clocks
Calc Disparity,10000, Clocks
Calc Depth,10000, Clocks
Segment Image,10000, Clocks
Feature Extraction,870000, Clocks
Histogram Generation,10000, Clocks
Signtature Generation,100000, Clocks
Audio Generation,6060000, Clocks
General Timing 0,580000, Clocks
General Timing 1,290000, Clocks
General Timing 2,100000, Clocks
General Timing 3,0, Clocks
All Processing,13640000, Clocks

Total Work Time,21740000
